year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1952,,,,,,,,,60,0,60,0,60,0,60,0,,,60,0,60,0,,,60,0,,,60.1,0,60.1,0
1953,,,,,,,,,57,0,57,0,57,0,57,0,,,57,0,57,0,,,57,0,,,57.2,0,57.2,0
1954,,,,,,,,,58,0,58,0,58,0,58,0,,,58,0,58,0,,,58,0,,,58,0,58,0
1955,,,,,,,,,56,0,56,0,56,0,56,0,,,56,0,56,0,,,56,0,,,55.8,0,55.8,0
1956,,,,,,,,,51,0,51,0,51,0,51,0,,,51,0,51,0,,,51,0,,,50.7,0,50.7,0
1957,,,,,,,,,47,0,47,0,47,0,47,0,,,47,0,47,0,,,47,0,,,47.3,0,47.3,0
1958,,,,,,,,,48,0,48,0,48,0,48,0,,,48,0,48,0,,,48,0,,,47.8,0,47.8,0
1959,,,,,,,,,46,0,46,0,46,0,46,0,,,46,0,46,0,,,47,0,,,46.5,0,46.5,0
1960,,,,,,,,,44,0,44,0,44,0,44,0,,,44,0,44,0,,,44,0,,,44.3,0,44.3,0
1961,,,,,,,,,44,0,44,0,44,0,44,0,,,44,0,44,0,,,44,0,,,43.6,0,43.6,0
1962,42.9,0,,,,,,,42,0,42,0,42,0,42,0,,,42,0,42,0,,,42,0,42.346,0,42.346,0,42.346,0
1963,41.4,0,,,,,,,41,0,41,0,41,0,41,0,,,41,0,41,0,,,41,0,41.083,0,41.083,0,41.083,0
1964,39,0,,,,,,,39,0,39,0,39,0,39,0,,,39,0,39,0,,,39,0,38.817,0,38.817,0,38.817,0
1965,36.5,0,,,,,,,37,0,37,0,37,0,37,0,,,37,0,37,0,,,37,0,36.764,0,36.764,0,36.764,0
1966,33.7,0,,,,,,,34,0,34,0,34,0,34,0,,,34,0,34,0,,,34,0,33.789,0,33.789,0,33.789,0
1967,33.4,0,,,,,,,32,0,32,0,32,0,32,0,31.809,0,32,0,32,0,,,32,0,31.873,0,31.873,0,31.873,0
1968,31.2,0,,,,,,,32,0,32,0,32,0,32,0,32.197,0,32,0,32,0,,,32,0,32.259,0,32.259,0,32.259,0
1969,28.5,0,,,,,,,28,0,28,0,28,0,28,0,28.312,0,28,0,28,0,28.37,0,28,0,28.37,0,28.37,0,28.37,0
1970,28.2,0,28,0,28,0,,,27,0,27,0,27,0,27,0,26.995,0,27,0,27,0,27.057,0,27,0,27.057,0,27.057,0,27.057,0
1971,27.7,0,28,0,28,0,,,27,0,27,0,27,0,27,0,27.074,0,27,0,27,0,27.14,0,27,0,27.14,0,27.14,0,27.14,0
1972,26.8,0,27,0,27,0,,,26,0,26,0,26,0,26,0,26.436,0,26,0,26,0,26.506,0,27,0,26.506,0,26.506,0,26.506,0
1973,24.8,0,26,0,26,0,,,25,0,25,0,25,0,25,0,25.14,0,25,0,25,0,25.202,0,25,0,25.202,0,25.202,0,25.202,0
1974,24.6,0,24,0,24,0,,,23,0,23,0,23,0,23,0,23.126,0,23,0,23,0,23.178,0,23,0,23.178,0,23.178,0,23.178,0
1975,26.6,0,25,0,25,0,,,25,0,25,0,25,0,25,0,24.506,0,25,0,25,0,24.562,0,25,0,24.562,0,24.562,0,24.562,0
1976,28.1,0,27,0,27,0,,,27,0,27,0,27,0,27,0,26.667,0,27,0,27,0,26.729,0,27,0,26.729,0,26.729,0,26.729,0
1977,27.8,0,28,0,28,0,,,27,0,27,0,27,0,27,0,27.071,0,27,0,27,0,27.125,0,27,0,27.125,0,27.125,0,27.125,0
1978,26.8,0,27,0,27,0,,,27,0,27,0,27,0,27,0,26.649,0,27,0,27,0,26.705,0,27,0,26.705,0,26.705,0,26.705,0
1979,25.7,0,26,0,26,0,,,25,0,25,0,25,0,25,0,24.914,0,25,0,25,0,24.958,0,25,0,24.958,0,24.958,0,24.958,0
1980,26.2,0,26,0,26,0,,,25,0,25,0,25,0,25,0,25.455,0,25,0,25,0,25.5,0,26,0,25.5,0,25.5,0,25.5,0
1981,26.3,0,26,0,26,0,,,25,0,25,0,25,0,25,0,25.153,0,25,0,25,0,25.195,0,25,0,25.195,0,25.195,0,25.195,0
1982,30,0,29,0,29,0,,,28,0,28,0,28,0,28,0,27.9,0,28,0,28,0,27.905,0,28,0,27.905,0,27.905,0,27.905,0
1983,33.4,0,33,0,33,0,,,32,0,32,0,32,0,32,0,32.117,0,32,0,32,0,32.163,0,32,0,32.163,0,32.163,0,32.163,0
1984,34.5,0,34,0,34,0,,,33,0,33,0,33,0,33,0,33.064,0,33,0,33,0,33.095,0,33,0,33.095,0,33.095,0,33.095,0
1985,37.1,0,36,0,36,0,,,35,0,35,0,35,0,35,0,35.296,0,35,0,35,0,35.339,0,35,0,35.339,0,35.339,0,35.339,0
1986,39.8,0,40,0,40,0,,,38,0,38,0,38,0,38,0,38.373,0,38,0,38,0,38.456,0,38,0,38.456,0,38.456,0,38.456,0
1987,40.7,0,41,0,41,0,,,40,0,40,0,40,0,40,0,39.519,0,40,0,40,0,39.637,0,40,0,39.637,0,39.637,0,39.637,0
1988,40.9,0,41,0,41,0,,,40,0,40,0,40,0,40,0,39.798,0,40,0,40,0,39.926,0,40,0,39.926,0,39.926,0,39.926,0
1989,41,0,41,0,41,0,,,39,0,39,0,39,0,39,0,39.33,0,39,0,39,0,39.439,0,39,0,39.439,0,39.439,0,39.439,0
1990,42.8,0,42,0,42,0,,,41,0,41,0,41,0,41,0,40.773,0,41,0,41,0,40.883,0,41,0,40.883,0,40.883,0,40.883,0
1991,46.1,0,45,0,45,0,,,44,0,44,0,44,0,44,0,44.009,0,44,0,44,0,44.131,0,44,0,44.131,0,44.131,0,44.131,0
1992,48.3,0,48,0,48,0,,,47,0,47,0,47,0,47,0,46.618,0,47,0,47,0,46.752,0,47,0,46.752,0,46.752,0,46.752,0
1993,49.5,0,49,0,49,0,,,48,0,48,0,48,0,48,0,47.806,0,48,0,48,0,47.945,0,48,0,47.945,0,47.945,0,47.945,0
1994,49.2,0,49,0,49,0,,,48,0,48,0,48,0,48,0,47.696,0,48,0,48,0,47.835,0,48,0,47.835,0,47.835,0,47.835,0
1995,49.2,0,49,0,49,0,,,48,0,48,0,48,0,48,0,47.53,0,48,0,48,0,47.674,0,48,0,47.674,0,47.674,0,47.674,0
